run	family	rung	budget	consensus_n	prediction	bound
D10_rc16_3250mm_sparse	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D10_rc16_3250mm_sparse	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D11_rc10_585_afbin2	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D12_c14_585_afbin2	A	0.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	A	0.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	A	0.25	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	A	0.25	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	A	0.25	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	A	0.50	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D12_c14_585_afbin2	A	0.50	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D12_c14_585_afbin2	A	0.50	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D12_c14_585_afbin2	A	1.00	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D12_c14_585_afbin2	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D12_c14_585_afbin2	A	1.00	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D12_c14_585_afbin2	B	0.50	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	B	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	B	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	B	1.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	B	1.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D12_c14_585_afbin2	B	1.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D13_apo200_1800mm	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D13_apo200_1800mm	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D14_cdk14_2563mm_e47	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D15_cdk20_3454mm_e47	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D16_esprit550_ha3	A	0.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	0.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	0.25	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
